dim_M,dim_N,dim_K,Numpy_failed (1),Numpy_time (s),CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
580,1024,1024,0,0.0023272037506103516,0,0.017441272735595703,0,0.005808115005493164,0,0.0019185543060302734,0,0.0017771720886230469
584,1024,1024,0,0.0024373531341552734,0,0.015987873077392578,0,0.005841732025146484,0,0.001909494400024414,0,0.001729726791381836
588,1024,1024,0,0.002709627151489258,0,0.018372297286987305,0,0.005890369415283203,0,0.0019457340240478516,0,0.0017845630645751953
592,1024,1024,0,0.0025336742401123047,0,0.016250133514404297,0,0.007411479949951172,0,0.001971006393432617,0,0.0018029212951660156
596,1024,1024,0,0.0025229454040527344,0,0.01631331443786621,0,0.005886077880859375,0,0.0020475387573242188,0,0.0018608570098876953
600,1024,1024,0,0.0026640892028808594,0,0.01656317710876465,0,0.007468223571777344,0,0.001967191696166992,0,0.0017883777618408203
604,1024,1024,0,0.0025565624237060547,0,0.01662278175354004,0,0.0058748722076416016,0,0.00199127197265625,0,0.0018253326416015625
608,1024,1024,0,0.00252532958984375,0,0.01680898666381836,0,0.007790565490722656,0,0.0021822452545166016,0,0.0019540786743164062
612,1024,1024,0,0.002446413040161133,0,0.016732215881347656,0,0.005964994430541992,0,0.002019643783569336,0,0.0018448829650878906
616,1024,1024,0,0.0024242401123046875,0,0.018321514129638672,0,0.005923748016357422,0,0.0020170211791992188,0,0.0018296241760253906
620,1024,1024,0,0.002321481704711914,0,0.016977310180664062,0,0.0060214996337890625,0,0.0020058155059814453,0,0.0018563270568847656
624,1024,1024,0,0.0023183822631835938,0,0.018623828887939453,0,0.006074666976928711,0,0.0020918846130371094,0,0.0019044876098632812
628,1024,1024,0,0.002210855484008789,0,0.017086505889892578,0,0.005988121032714844,0,0.0020058155059814453,0,0.0018415451049804688
632,1024,1024,0,0.0021986961364746094,0,0.01888418197631836,0,0.00614476203918457,0,0.0021016597747802734,0,0.0019240379333496094
636,1024,1024,0,0.002112150192260742,0,0.01746344566345215,0,0.0075190067291259766,0,0.002063274383544922,0,0.001894235610961914
640,1024,1024,0,0.0020487308502197266,0,0.017569541931152344,0,0.006142616271972656,0,0.0020868778228759766,0,0.0019207000732421875
644,1024,1024,0,0.002106189727783203,0,0.01756763458251953,0,0.007578372955322266,0,0.0020983219146728516,0,0.001936197280883789
648,1024,1024,0,0.0021767616271972656,0,0.017693281173706055,0,0.006052494049072266,0,0.002526521682739258,0,0.001964569091796875
652,1024,1024,0,0.0021741390228271484,0,0.01872110366821289,0,0.008420228958129883,0,0.0021314620971679688,0,0.00196075439453125
656,1024,1024,0,0.002294301986694336,0,0.017881155014038086,0,0.0061130523681640625,0,0.0021631717681884766,0,0.0019550323486328125
660,1024,1024,0,0.0030388832092285156,0,0.019642114639282227,0,0.006081819534301758,0,0.0021004676818847656,0,0.0019259452819824219
664,1024,1024,0,0.0024209022521972656,0,0.018132448196411133,0,0.0061070919036865234,0,0.002207040786743164,0,0.002034425735473633
668,1024,1024,0,0.0024352073669433594,0,0.01981067657470703,0,0.006124019622802734,0,0.0021293163299560547,0,0.0019452571868896484
672,1024,1024,0,0.0025343894958496094,0,0.018263578414916992,0,0.006058454513549805,0,0.002101898193359375,0,0.0019283294677734375
676,1024,1024,0,0.002540111541748047,0,0.01994180679321289,0,0.006186008453369141,0,0.0022215843200683594,0,0.0020856857299804688
680,1024,1024,0,0.002681732177734375,0,0.01848459243774414,0,0.007675647735595703,0,0.0021643638610839844,0,0.0020477771759033203
684,1024,1024,0,0.002642393112182617,0,0.0187222957611084,0,0.006195783615112305,0,0.002124786376953125,0,0.0019910335540771484
688,1024,1024,0,0.0026428699493408203,0,0.019603252410888672,0,0.007657051086425781,0,0.002148151397705078,0,0.0020186901092529297
692,1024,1024,0,0.0026252269744873047,0,0.018901586532592773,0,0.0061817169189453125,0,0.002237558364868164,0,0.002081155776977539
696,1024,1024,0,0.0026776790618896484,0,0.018908023834228516,0,0.007727861404418945,0,0.002154827117919922,0,0.001978158950805664
700,1024,1024,0,0.0027158260345458984,0,0.019968032836914062,0,0.0062105655670166016,0,0.0022170543670654297,0,0.0020377635955810547
704,1024,1024,0,0.00264739990234375,0,0.02055048942565918,0,0.006202220916748047,0,0.0021767616271972656,0,0.002023935317993164
708,1024,1024,0,0.002710103988647461,0,0.019191503524780273,0,0.006198406219482422,0,0.0022766590118408203,0,0.0021457672119140625
712,1024,1024,0,0.002629995346069336,0,0.02086663246154785,0,0.00634002685546875,0,0.0024051666259765625,0,0.002170562744140625
716,1024,1024,0,0.0027098655700683594,0,0.01960587501525879,0,0.00627446174621582,0,0.002245187759399414,0,0.0020914077758789062
720,1024,1024,0,0.0027074813842773438,0,0.02122354507446289,0,0.006209611892700195,0,0.0021719932556152344,0,0.0020248889923095703
724,1024,1024,0,0.0028769969940185547,0,0.019727230072021484,0,0.00782918930053711,0,0.0022466182708740234,0,0.002881288528442383
728,1024,1024,0,0.0027611255645751953,0,0.019869565963745117,0,0.007136344909667969,0,0.0022819042205810547,0,0.002131938934326172
732,1024,1024,0,0.0028743743896484375,0,0.019778013229370117,0,0.00787663459777832,0,0.002335071563720703,0,0.002155303955078125
736,1024,1024,0,0.0028896331787109375,0,0.019871950149536133,0,0.006270170211791992,0,0.003131866455078125,0,0.0021266937255859375
740,1024,1024,0,0.003000020980834961,0,0.0201113224029541,0,0.007802486419677734,0,0.002259492874145508,0,0.0021622180938720703
744,1024,1024,0,0.0030040740966796875,0,0.020214080810546875,0,0.006301164627075195,0,0.002269744873046875,0,0.002141714096069336
748,1024,1024,0,0.00310516357421875,0,0.021881103515625,0,0.006306886672973633,0,0.0022954940795898438,0,0.002128124237060547
752,1024,1024,0,0.0031638145446777344,0,0.02050638198852539,0,0.006345510482788086,0,0.002328634262084961,0,0.002142190933227539
756,1024,1024,0,0.0032112598419189453,0,0.021994829177856445,0,0.006294727325439453,0,0.0022733211517333984,0,0.0021772384643554688
760,1024,1024,0,0.0032291412353515625,0,0.020694971084594727,0,0.006375789642333984,0,0.002356290817260742,0,0.0021800994873046875
764,1024,1024,0,0.0031824111938476562,0,0.022098302841186523,0,0.006390094757080078,0,0.002330780029296875,0,0.0021686553955078125
768,1024,1024,0,0.0030214786529541016,0,0.020833253860473633,0,0.00785970687866211,0,0.0023145675659179688,0,0.0021829605102539062
772,1024,1024,0,0.002970457077026367,0,0.020867109298706055,0,0.00644373893737793,0,0.0024368762969970703,0,0.0022351741790771484
776,1024,1024,0,0.0027806758880615234,0,0.02102041244506836,0,0.007941722869873047,0,0.002320528030395508,0,0.0022182464599609375
